madhusudan;saptami;K;;Disappearance of Srila Abhiram Thakur.;День ухода Шрилы Абхирама Тхакура.
madhusudan;dashami;K;;<a href="http://scsmath.com/events/calendar_events/05_VrindavanDasThakurDisap.html">Disappearance of Srila Vrindavan Das Thakur.</a>;День ухода Шрилы Вриндавана даса Тхакура.
madhusudan;ekadashi;K;;Disappearance of <a href="http://scsmath.com/events/calendar_events/04_SaurindranathBhaktiVaridhiPrabhu.html">Sriyukta Saurindranath Bhakti Varidhi Prabhu</a>.;День ухода Шрикюкты Сауриндранатха Бхакти Варидхи Прабху. 
madhusudan;chaturdashi;K;acharya-maharaj-disappearance;Disappearance of <a href="http://scsmath.com/events/docs/acharya_maharaj.html">Tridandi Swami Srimad Bhakti Nirmal Acharya Maharaj</a>.;День ухода <a href="https://harekrishna.ru/2021/05/ukhod-shrily-b-n-achari-makharadzha-10-maya-2021-goda">Триданди Свами Шрилы Бхакти Нирмала Ачарьи Махараджа</a>.
madhusudan;amavasya;K;;<a href="http://scsmath.com/events/calendar_events/04_GadadharPandit.html">Appearance of Srila Gadadhar Pandit Goswami.</a>;День явления <b>Шрилы Гададхара Пандита Госвами</b>.
madhusudan;pratipad;G;;Appearance of Tridandi Swami Srimad Bhakti Aloka Paramahamsa Maharaj.;День явления Триданди Свами Шримад Бхакти Алоки Парамахамсы Махараджа.
madhusudan;dvitiya;G;;<a href="http://scsmath.com/events/calendar_events/10_Jajavar_Maharaj.html">Appearance of Tridandi Swami Srimad Bhakti Vichar Jajavar Maharaj</a>.;День явления Триданди Свами Шримад Бхакти Вичара Джаджавара Махараджа.
madhusudan;tritiya;G;akshaya-tritiya;Aksaya Tritiya: a good day to start some works.;Акшая Трития: удачный день для начала нового дела.
madhusudan;panchami;G;;<a href="http://scsmath.com/events/calendar_events/04_Sankacharya.html">Appearance of Sripad Shankar Acharya.</a> Disappearance of Tridandi Swami Srimad Bhakti Vilas Gabhastinemi Maharaj.;День явления Шрипада Шанкарачарьи. День ухода Триданди Свами Шримад Бхакти Вилас Габхастинеми Махараджа.
madhusudan;saptami;G;jahnu-saptami;Jahnu Saptami. Sri Jahnavi Puja <a href="http://scsmath.com/events/calendar_events/04_GangaPuja.html">(Sri Ganga Puja).</a>;Джахну Саптами. Шри Джахнави <em>пуджа</em> (Шри Ганга <em>пуджа</em>).
madhusudan;navami;G;goswami-maharaj-appearance;Appearance of Sri Nityananda-shakti, <a href="http://scsmath.com/events/calendar_events/04_JahnavaDevi.html">Sri Jahnava Devi</a>, and Sri Rama-shakti, Sri Sita Devi. Appearance of Tridandi Swami Srimad Bhakti Sudhir Goswami Maharaj.;Явление Нитьянанда-шакти, Шри Джахнавы Деви. Явление Рама-шакти, Шри Ситы Деви. День явления Шрилы Бхакти Судхира Госвами Махараджа.
madhusudan;chaturdashi;G;nrisimha-chaturdashi;<a href="http://scsmath.com/events/calendar_events/05_NrsimhaChaturdasi.html"><b>Sri Nrisimha Chaturdashi: appearance day of Sri Nrisimhadev</b></a>. <strong>Full fast until after sunset</strong>, then no grains (anukalpa).;<b>Шри Нрисимха Чатурдаши: явление Шри Нрисимхадева</b>. <strong>Пост до заката</strong>, затем экадашный прасад (<em>анукалпа</em>).
madhusudan;purnima;G;nrisimha-chaturdashi-paran;Sri Nrisimha Chaturdashi paran between %s and %s a.m. (in %s). Sri Krishna's Phul Dol and Salila Bihar. Buddha Purnima: appearance day of Lord Buddha. Disappearance of Srila Parameshvari Das Thakur. Appearance of <a href="http://scsmath.com/events/calendar_events/05_10_SrinivasAcharya.html">Srila Srinivas Acharya</a>.;Нрисимха Чатурдаши паран %s — %s (в %s).Пхул Дол Шри Кришны и Салила Бихар. Будда Пурнима: Явление Господа Будды. День явления Шрилы Шриниваса Ачарьи. День ухода Шрилы Парамешвари даса Тхакура.
trivikram;pratipad;K;;Disappearance of <a href="http://scsmath.com/events/calendar_events/05_BhaktiSarangaGoswamiMaharaj.html">Tridandi Swami Srimad Bhakti Saranga Goswami Maharaj.</a>;День ухода Триданди Свами Шримад Бхакти Саранги Госвами Махараджа.
trivikram;panchami;K;;<a href="http://scsmath.com/events/calendar_events/05_RamanandaRay.html">Disappearance of Srila Ramananda Ray</a>.;День ухода Шрилы Рамананды Рая.
trivikram;navami;K;;Disappearance of Sripad Santosh Krishna Das Adhikari Prabhu.;День ухода Шрипада Сантоша Кришнадаса Адхикари Прабху. trivikram;dvadashi;K;;<a href="http://scsmath.com/events/calendar_events/05_VrindavanDasThakurAppearance.html">Appearance of Srila Vrindavan Das Thakur.</a>;День явления Шрилы Вриндавана даса Тхакура. trivikram;pratipad;G;;Sree Chaitanya Saraswata Krishnanushilana Sangha, Dum Dum Park, Kolkata: <a href="http://scsmath.com/events/calendar_events/06_Dum_Dum_Park_Installation.html">Sri Sri Guru Gauranga Radha Madan Mohan Jiu's installation day festival.</a>;Шри Чайтанья Сарасвата Кришнанушилана Санга, Дам Дам Парк, Калькутта: Фестиваль, посвящённый установлению Божеств Шри Шри Гуру Гауранги Радха Мадана Мохан Джиу.
