masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Madhusūdan;K;Daśamī;2021-05-05 14:42;2021-05-06 14:38;2021-05-05 04:46;2021-05-06 04:43;2021-05-05 21:06;2021-05-06;2021-05-06 03:07;shuddha;;;
Madhusūdan;K;Ekādaśī;2021-05-06 14:38;2021-05-07 15:04;2021-05-06 04:43;2021-05-07 04:40;2021-05-06 21:08;2021-05-07;2021-05-07 03:04;shuddha;;;
Madhusūdan;K;Dvādaśī;2021-05-07 15:04;2021-05-08 16:00;2021-05-07 04:40;2021-05-08 04:38;2021-05-07 21:11;2021-05-08;2021-05-08 03:02;shuddha;;;
Madhusūdan;K;Trayodaśī;2021-05-08 16:00;2021-05-09 17:23;2021-05-08 04:38;2021-05-09 04:35;2021-05-08 21:13;2021-05-09;2021-05-09 02:59;shuddha;;;
Madhusūdan;K;Chaturdaśī;2021-05-09 17:23;2021-05-10 19:07;2021-05-09 04:35;2021-05-10 04:33;2021-05-09 21:16;2021-05-10;2021-05-10 02:57;shuddha;;;
Madhusūdan;K;Amāvasyā;2021-05-10 19:07;2021-05-11 21:06;2021-05-10 04:33;2021-05-11 04:30;2021-05-10 21:18;2021-05-11;2021-05-11 02:54;shuddha;;;
Madhusūdan;G;Pratipad;2021-05-11 21:06;2021-05-12 23:10;2021-05-11 04:30;2021-05-12 04:28;2021-05-11 21:21;2021-05-12;2021-05-12 02:52;shuddha;;;
Madhusūdan;G;Dvitīya;2021-05-12 23:10;2021-05-14 01:06;2021-05-12 04:28;2021-05-13 04:26;2021-05-12 21:23;2021-05-13;2021-05-13 02:50;shuddha;;;
Madhusūdan;G;Tṛtīya;2021-05-14 01:06;2021-05-15 02:47;2021-05-14 04:23;2021-05-15 04:21;2021-05-14 21:28;2021-05-14;2021-05-14 02:47;shuddha;;;
Madhusūdan;G;Chaturthī;2021-05-15 02:47;2021-05-16 04:05;2021-05-15 04:21;2021-05-16 04:19;2021-05-15 21:30;2021-05-15;2021-05-15 02:45;viddha;;;
