masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Trivikram;K;Tṛtīya;2021-05-28 12:32;2021-05-29 10:25;2021-05-28 04:56;2021-05-29 04:56;;2021-05-29;2021-05-29 03:20;shuddha;;;
Trivikram;K;Chaturthī;2021-05-29 10:25;2021-05-30 08:35;2021-05-29 04:56;2021-05-30 04:56;;2021-05-30;2021-05-30 03:20;shuddha;;;
Trivikram;K;Pañchamī;2021-05-30 08:35;2021-05-31 07:06;2021-05-30 04:56;2021-05-31 04:56;;2021-05-31;2021-05-31 03:20;shuddha;;;
Trivikram;K;Śaṣṭhī;2021-05-31 07:06;2021-06-01 06:01;2021-05-31 04:56;2021-06-01 04:56;;2021-06-01;2021-06-01 03:20;shuddha;;;
Trivikram;K;Saptamī;2021-06-01 06:01;2021-06-02 05:23;2021-06-01 04:56;2021-06-02 04:56;;2021-06-02;2021-06-02 03:20;shuddha;;;
Trivikram;K;Aṣṭamī;2021-06-02 05:23;2021-06-03 05:16;2021-06-02 04:56;2021-06-03 04:56;;2021-06-03;2021-06-03 03:20;shuddha;;;
Trivikram;K;Navamī;2021-06-03 05:16;2021-06-04 05:39;2021-06-03 04:56;2021-06-04 04:56;;2021-06-04;2021-06-04 03:20;shuddha;;;
Trivikram;K;Daśamī;2021-06-04 05:39;2021-06-05 06:33;2021-06-04 04:56;2021-06-05 04:56;;2021-06-05;2021-06-05 03:20;shuddha;;;
Trivikram;K;Ekādaśī;2021-06-05 06:33;2021-06-06 07:53;2021-06-05 04:56;2021-06-06 04:56;;2021-06-06;2021-06-06 03:20;shuddha;;;
Trivikram;K;Dvādaśī;2021-06-06 07:53;2021-06-07 09:35;2021-06-06 04:56;2021-06-07 04:56;2021-06-06 18:17;2021-06-07;2021-06-07 03:20;shuddha;;;
Trivikram;K;Trayodaśī;2021-06-07 09:35;2021-06-08 11:31;2021-06-07 04:56;2021-06-08 04:56;2021-06-07 18:17;2021-06-08;2021-06-08 03:20;shuddha;;;
Trivikram;K;Chaturdaśī;2021-06-08 11:31;2021-06-09 13:34;2021-06-08 04:56;2021-06-09 04:56;;2021-06-09;2021-06-09 03:20;shuddha;;;
Trivikram;K;Amāvasyā;2021-06-09 13:34;2021-06-10 15:29;2021-06-09 04:56;2021-06-10 04:56;;2021-06-10;2021-06-10 03:20;shuddha;;;
Trivikram;G;Pratipad;2021-06-10 15:29;2021-06-11 17:11;2021-06-10 04:56;2021-06-11 04:56;;2021-06-11;2021-06-11 03:20;shuddha;;;
Trivikram;G;Dvitīya;2021-06-11 17:11;2021-06-12 18:30;2021-06-11 04:56;2021-06-12 04:56;;2021-06-12;2021-06-12 03:20;shuddha;;;
Trivikram;G;Tṛtīya;2021-06-12 18:30;2021-06-13 19:23;2021-06-12 04:56;2021-06-13 04:55;;2021-06-13;2021-06-13 03:19;shuddha;;;
