masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;third_day_sunrise;date;type
Madhusūdan;G;Dvādaśī;2021-05-22 15:01;2021-05-23 12:54;2021-05-22 05:54;2021-05-23 05:53;2021-05-24 05:53;2021-05-23;shuddha
Madhusūdan;G;Trayodaśī;2021-05-23 12:54;2021-05-24 10:36;2021-05-23 05:53;2021-05-24 05:53;2021-05-25 05:52;2021-05-24;shuddha
Madhusūdan;G;Chaturdaśī;2021-05-24 10:36;2021-05-25 08:11;2021-05-24 05:53;2021-05-25 05:52;2021-05-26 05:52;2021-05-25;shuddha
Madhusūdan;G;Pūrṇimā;2021-05-25 08:11;2021-05-26 05:44;2021-05-25 05:52;2021-05-26 05:52;2021-05-27 05:51;2021-05-25;kshaya
Trivikram;K;Pratipad;2021-05-26 05:44;2021-05-27 03:19;2021-05-26 05:52;2021-05-27 05:51;2021-05-28 05:51;2021-05-26;shuddha
Trivikram;K;Dvitīya;2021-05-27 03:19;2021-05-28 01:02;2021-05-27 05:51;2021-05-28 05:51;2021-05-29 05:50;2021-05-27;shuddha
Trivikram;K;Tṛtīya;2021-05-28 01:02;2021-05-28 22:55;2021-05-28 05:51;2021-05-29 05:50;2021-05-30 05:50;2021-05-28;shuddha
Trivikram;K;Chaturthī;2021-05-28 22:55;2021-05-29 21:05;2021-05-28 05:51;2021-05-29 05:50;2021-05-30 05:50;2021-05-29;shuddha
Trivikram;K;Pañchamī;2021-05-29 21:05;2021-05-30 19:36;2021-05-29 05:50;2021-05-30 05:50;2021-05-31 05:49;2021-05-30;shuddha
Trivikram;K;Śaṣṭhī;2021-05-30 19:36;2021-05-31 18:31;2021-05-30 05:50;2021-05-31 05:49;2021-06-01 05:49;2021-05-31;shuddha
Trivikram;K;Saptamī;2021-05-31 18:31;2021-06-01 17:53;2021-05-31 05:49;2021-06-01 05:49;2021-06-02 05:49;2021-06-01;shuddha
Trivikram;K;Aṣṭamī;2021-06-01 17:53;2021-06-02 17:46;2021-06-01 05:49;2021-06-02 05:49;2021-06-03 05:48;2021-06-02;shuddha
Trivikram;K;Navamī;2021-06-02 17:46;2021-06-03 18:09;2021-06-02 05:49;2021-06-03 05:48;2021-06-04 05:48;2021-06-03;shuddha
Trivikram;K;Daśamī;2021-06-03 18:09;2021-06-04 19:03;2021-06-03 05:48;2021-06-04 05:48;2021-06-05 05:48;2021-06-04;shuddha
Trivikram;K;Ekādaśī;2021-06-04 19:03;2021-06-05 20:23;2021-06-04 05:48;2021-06-05 05:48;2021-06-06 05:48;2021-06-05;shuddha
Trivikram;K;Dvādaśī;2021-06-05 20:23;2021-06-06 22:05;2021-06-05 05:48;2021-06-06 05:48;2021-06-07 05:48;2021-06-06;shuddha
Trivikram;K;Trayodaśī;2021-06-06 22:05;2021-06-08 00:01;2021-06-06 05:48;2021-06-07 05:48;2021-06-08 05:47;2021-06-08;shuddha
Trivikram;K;Chaturdaśī;2021-06-08 00:01;2021-06-09 02:04;2021-06-08 05:47;2021-06-09 05:47;2021-06-10 05:47;2021-06-08;shuddha
Trivikram;K;Amāvasyā;2021-06-09 02:04;2021-06-10 03:59;2021-06-09 05:47;2021-06-10 05:47;2021-06-11 05:47;2021-06-09;shuddha
Trivikram;G;Pratipad;2021-06-10 03:59;2021-06-11 05:41;2021-06-10 05:47;2021-06-11 05:47;2021-06-12 05:47;2021-06-10;shuddha
Trivikram;G;Dvitīya;2021-06-11 05:41;2021-06-12 07:00;2021-06-11 05:47;2021-06-12 05:47;2021-06-13 05:47;2021-06-11;sampurna
Trivikram;G;Tṛtīya;2021-06-12 07:00;2021-06-13 07:53;2021-06-12 05:47;2021-06-13 05:47;2021-06-14 05:47;2021-06-13;shuddha
Trivikram;G;Chaturthī;2021-06-13 07:53;2021-06-14 08:15;2021-06-13 05:47;2021-06-14 05:47;2021-06-15 05:47;2021-06-14;shuddha
Trivikram;G;Pañchamī;2021-06-14 08:15;2021-06-15 08:06;2021-06-14 05:47;2021-06-15 05:47;2021-06-16 05:47;2021-06-15;shuddha
Trivikram;G;Śaṣṭhī;2021-06-15 08:06;2021-06-16 07:28;2021-06-15 05:47;2021-06-16 05:47;2021-06-17 05:47;2021-06-16;shuddha
Trivikram;G;Saptamī;2021-06-16 07:28;2021-06-17 06:22;2021-06-16 05:47;2021-06-17 05:47;2021-06-18 05:47;2021-06-17;shuddha
Trivikram;G;Aṣṭamī;2021-06-17 06:22;2021-06-18 04:51;2021-06-17 05:47;2021-06-18 05:47;2021-06-19 05:48;2021-06-17;kshaya
Trivikram;G;Navamī;2021-06-18 04:51;2021-06-19 03:00;2021-06-18 05:47;2021-06-19 05:48;2021-06-20 05:48;2021-06-18;shuddha
Trivikram;G;Daśamī;2021-06-19 03:00;2021-06-20 00:54;2021-06-19 05:48;2021-06-20 05:48;2021-06-21 05:48;2021-06-19;shuddha
Trivikram;G;Ekādaśī;2021-06-20 00:54;2021-06-20 22:35;2021-06-20 05:48;2021-06-21 05:48;2021-06-22 05:48;2021-06-20;shuddha
Trivikram;G;Dvādaśī;2021-06-20 22:35;2021-06-21 20:09;2021-06-20 05:48;2021-06-21 05:48;2021-06-22 05:48;2021-06-21;shuddha
Trivikram;G;Trayodaśī;2021-06-21 20:09;2021-06-22 17:40;2021-06-21 05:48;2021-06-22 05:48;2021-06-23 05:49;2021-06-22;shuddha
Trivikram;G;Chaturdaśī;2021-06-22 17:40;2021-06-23 15:14;2021-06-22 05:48;2021-06-23 05:49;2021-06-24 05:49;2021-06-23;shuddha
Trivikram;G;Pūrṇimā;2021-06-23 15:14;2021-06-24 12:56;2021-06-23 05:49;2021-06-24 05:49;2021-06-25 05:49;2021-06-24;shuddha
Vāman;K;Pratipad;2021-06-24 12:56;2021-06-25 10:48;2021-06-24 05:49;2021-06-25 05:49;2021-06-26 05:50;2021-06-25;shuddha
Vāman;K;Dvitīya;2021-06-25 10:48;2021-06-26 08:57;2021-06-25 05:49;2021-06-26 05:50;2021-06-27 05:50;2021-06-26;shuddha
Vāman;K;Tṛtīya;2021-06-26 08:57;2021-06-27 07:26;2021-06-26 05:50;2021-06-27 05:50;2021-06-28 05:50;2021-06-27;shuddha
Vāman;K;Chaturthī;2021-06-27 07:26;2021-06-28 06:19;2021-06-27 05:50;2021-06-28 05:50;2021-06-29 05:51;2021-06-28;shuddha
Vāman;K;Pañchamī;2021-06-28 06:19;2021-06-29 05:38;2021-06-28 05:50;2021-06-29 05:51;2021-06-30 05:51;2021-06-28;kshaya
Vāman;K;Śaṣṭhī;2021-06-29 05:38;2021-06-30 05:28;2021-06-29 05:51;2021-06-30 05:51;2021-07-01 05:52;2021-06-29;shuddha
Vāman;K;Saptamī;2021-06-30 05:28;2021-07-01 05:49;2021-06-30 05:51;2021-07-01 05:52;2021-07-02 05:52;2021-06-30;shuddha
Vāman;K;Aṣṭamī;2021-07-01 05:49;2021-07-02 06:40;2021-07-01 05:52;2021-07-02 05:52;2021-07-03 05:53;2021-07-01;sampurna
Vāman;K;Navamī;2021-07-02 06:40;2021-07-03 07:58;2021-07-02 05:52;2021-07-03 05:53;2021-07-04 05:53;2021-07-03;shuddha
Vāman;K;Daśamī;2021-07-03 07:58;2021-07-04 09:37;2021-07-03 05:53;2021-07-04 05:53;2021-07-05 05:54;2021-07-04;shuddha
Vāman;K;Ekādaśī;2021-07-04 09:37;2021-07-05 11:33;2021-07-04 05:53;2021-07-05 05:54;2021-07-06 05:54;2021-07-05;shuddha
Vāman;K;Dvādaśī;2021-07-05 11:33;2021-07-06 13:34;2021-07-05 05:54;2021-07-06 05:54;2021-07-07 05:55;2021-07-06;shuddha
Vāman;K;Trayodaśī;2021-07-06 13:34;2021-07-07 15:30;2021-07-06 05:54;2021-07-07 05:55;2021-07-08 05:55;2021-07-07;shuddha
Vāman;K;Chaturdaśī;2021-07-07 15:30;2021-07-08 17:13;2021-07-07 05:55;2021-07-08 05:55;2021-07-09 05:56;2021-07-08;shuddha
Vāman;K;Amāvasyā;2021-07-08 17:13;2021-07-09 18:33;2021-07-08 05:55;2021-07-09 05:56;2021-07-10 05:57;2021-07-09;shuddha
Vāman;G;Pratipad;2021-07-09 18:33;2021-07-10 19:28;2021-07-09 05:56;2021-07-10 05:57;2021-07-11 05:57;2021-07-10;shuddha
Vāman;G;Dvitīya;2021-07-10 19:28;2021-07-11 19:52;2021-07-10 05:57;2021-07-11 05:57;2021-07-12 05:58;2021-07-11;shuddha
Vāman;G;Tṛtīya;2021-07-11 19:52;2021-07-12 19:46;2021-07-11 05:57;2021-07-12 05:58;2021-07-13 05:58;2021-07-12;shuddha
Vāman;G;Chaturthī;2021-07-12 19:46;2021-07-13 19:09;2021-07-12 05:58;2021-07-13 05:58;2021-07-14 05:59;2021-07-13;shuddha
Vāman;G;Pañchamī;2021-07-13 19:09;2021-07-14 18:05;2021-07-13 05:58;2021-07-14 05:59;2021-07-15 06:00;2021-07-14;shuddha
Vāman;G;Śaṣṭhī;2021-07-14 18:05;2021-07-15 16:36;2021-07-14 05:59;2021-07-15 06:00;2021-07-16 06:01;2021-07-15;shuddha
Vāman;G;Saptamī;2021-07-15 16:36;2021-07-16 14:46;2021-07-15 06:00;2021-07-16 06:01;2021-07-17 06:01;2021-07-16;shuddha
Vāman;G;Aṣṭamī;2021-07-16 14:46;2021-07-17 12:40;2021-07-16 06:01;2021-07-17 06:01;2021-07-18 06:02;2021-07-17;shuddha
Vāman;G;Navamī;2021-07-17 12:40;2021-07-18 10:23;2021-07-17 06:01;2021-07-18 06:02;2021-07-19 06:03;2021-07-18;shuddha
Vāman;G;Daśamī;2021-07-18 10:23;2021-07-19 07:57;2021-07-18 06:02;2021-07-19 06:03;2021-07-20 06:03;2021-07-19;shuddha
Vāman;G;Ekādaśī;2021-07-19 07:57;2021-07-20 05:28;2021-07-19 06:03;2021-07-20 06:03;2021-07-21 06:04;2021-07-19;kshaya
Vāman;G;Dvādaśī;2021-07-20 05:28;2021-07-21 03:01;2021-07-20 06:03;2021-07-21 06:04;2021-07-22 06:05;2021-07-20;shuddha
Vāman;G;Trayodaśī;2021-07-21 03:01;2021-07-22 00:41;2021-07-21 06:04;2021-07-22 06:05;2021-07-23 06:06;2021-07-21;shuddha
Vāman;G;Chaturdaśī;2021-07-22 00:41;2021-07-22 22:33;2021-07-22 06:05;2021-07-23 06:06;2021-07-24 06:07;2021-07-22;shuddha
Vāman;G;Pūrṇimā;2021-07-22 22:33;2021-07-23 20:39;2021-07-22 06:05;2021-07-23 06:06;2021-07-24 06:07;2021-07-23;shuddha
Śrīdhar;K;Pratipad;2021-07-23 20:39;2021-07-24 19:07;2021-07-23 06:06;2021-07-24 06:07;2021-07-25 06:07;2021-07-24;shuddha
Śrīdhar;K;Dvitīya;2021-07-24 19:07;2021-07-25 18:07;2021-07-24 06:07;2021-07-25 06:07;2021-07-26 06:08;2021-07-25;shuddha
Śrīdhar;K;Tṛtīya;2021-07-25 18:07;2021-07-26 17:15;2021-07-25 06:07;2021-07-26 06:08;2021-07-27 06:09;2021-07-26;shuddha
Śrīdhar;K;Chaturthī;2021-07-26 17:15;2021-07-27 17:03;2021-07-26 06:08;2021-07-27 06:09;2021-07-28 06:10;2021-07-27;shuddha
Śrīdhar;K;Pañchamī;2021-07-27 17:03;2021-07-28 17:22;2021-07-27 06:09;2021-07-28 06:10;2021-07-29 06:10;2021-07-28;shuddha
Śrīdhar;K;Śaṣṭhī;2021-07-28 17:22;2021-07-29 18:12;2021-07-28 06:10;2021-07-29 06:10;2021-07-30 06:11;2021-07-29;shuddha
Śrīdhar;K;Saptamī;2021-07-29 18:12;2021-07-30 19:29;2021-07-29 06:10;2021-07-30 06:11;2021-07-31 06:12;2021-07-30;shuddha
Śrīdhar;K;Aṣṭamī;2021-07-30 19:29;2021-07-31 21:07;2021-07-30 06:11;2021-07-31 06:12;2021-08-01 06:13;2021-07-31;shuddha
Śrīdhar;K;Navamī;2021-07-31 21:07;2021-08-01 23:03;2021-07-31 06:12;2021-08-01 06:13;2021-08-02 06:14;2021-08-01;shuddha
Śrīdhar;K;Daśamī;2021-08-01 23:03;2021-08-03 01:04;2021-08-01 06:13;2021-08-02 06:14;2021-08-03 06:15;2021-08-03;shuddha
Śrīdhar;K;Ekādaśī;2021-08-03 01:04;2021-08-04 03:02;2021-08-03 06:15;2021-08-04 06:15;2021-08-05 06:16;2021-08-03;shuddha
Śrīdhar;K;Dvādaśī;2021-08-04 03:02;2021-08-05 04:46;2021-08-04 06:15;2021-08-05 06:16;2021-08-06 06:17;2021-08-04;shuddha
Śrīdhar;K;Trayodaśī;2021-08-05 04:46;2021-08-06 06:08;2021-08-05 06:16;2021-08-06 06:17;2021-08-07 06:18;2021-08-05;shuddha
Śrīdhar;K;Chaturdaśī;2021-08-06 06:08;2021-08-07 07:06;2021-08-06 06:17;2021-08-07 06:18;2021-08-08 06:19;2021-08-06;sampurna
Śrīdhar;K;Amāvasyā;2021-08-07 07:06;2021-08-08 07:32;2021-08-07 06:18;2021-08-08 06:19;2021-08-09 06:20;2021-08-08;shuddha
Śrīdhar;G;Pratipad;2021-08-08 07:32;2021-08-09 07:28;2021-08-08 06:19;2021-08-09 06:20;2021-08-10 06:20;2021-08-09;shuddha
Śrīdhar;G;Dvitīya;2021-08-09 07:28;2021-08-10 06:54;2021-08-09 06:20;2021-08-10 06:20;2021-08-11 06:21;2021-08-10;shuddha
Śrīdhar;G;Tṛtīya;2021-08-10 06:54;2021-08-11 05:52;2021-08-10 06:20;2021-08-11 06:21;2021-08-12 06:22;2021-08-10;kshaya
Śrīdhar;G;Chaturthī;2021-08-11 05:52;2021-08-12 04:26;2021-08-11 06:21;2021-08-12 06:22;2021-08-13 06:23;2021-08-11;shuddha
Śrīdhar;G;Pañchamī;2021-08-12 04:26;2021-08-13 02:38;2021-08-12 06:22;2021-08-13 06:23;2021-08-14 06:24;2021-08-12;shuddha
Śrīdhar;G;Śaṣṭhī;2021-08-13 02:38;2021-08-14 00:34;2021-08-13 06:23;2021-08-14 06:24;2021-08-15 06:25;2021-08-13;shuddha
Śrīdhar;G;Saptamī;2021-08-14 00:34;2021-08-14 22:18;2021-08-14 06:24;2021-08-15 06:25;2021-08-16 06:25;2021-08-14;shuddha
Śrīdhar;G;Aṣṭamī;2021-08-14 22:18;2021-08-15 19:53;2021-08-14 06:24;2021-08-15 06:25;2021-08-16 06:25;2021-08-15;shuddha
Śrīdhar;G;Navamī;2021-08-15 19:53;2021-08-16 17:24;2021-08-15 06:25;2021-08-16 06:25;2021-08-17 06:26;2021-08-16;shuddha
Śrīdhar;G;Daśamī;2021-08-16 17:24;2021-08-17 14:58;2021-08-16 06:25;2021-08-17 06:26;2021-08-18 06:27;2021-08-17;shuddha
Śrīdhar;G;Ekādaśī;2021-08-17 14:58;2021-08-18 12:39;2021-08-17 06:26;2021-08-18 06:27;2021-08-19 06:28;2021-08-18;shuddha
Śrīdhar;G;Dvādaśī;2021-08-18 12:39;2021-08-19 10:30;2021-08-18 06:27;2021-08-19 06:28;2021-08-20 06:29;2021-08-19;shuddha
Śrīdhar;G;Trayodaśī;2021-08-19 10:30;2021-08-20 08:37;2021-08-19 06:28;2021-08-20 06:29;2021-08-21 06:30;2021-08-20;shuddha
Śrīdhar;G;Chaturdaśī;2021-08-20 08:37;2021-08-21 07:03;2021-08-20 06:29;2021-08-21 06:30;2021-08-22 06:30;2021-08-21;shuddha
Śrīdhar;G;Pūrṇimā;2021-08-21 07:03;2021-08-22 05:53;2021-08-21 06:30;2021-08-22 06:30;2021-08-23 06:31;2021-08-21;kshaya
Hṛṣīkeś;K;Pratipad;2021-08-22 05:53;2021-08-23 05:10;2021-08-22 06:30;2021-08-23 06:31;2021-08-24 06:32;2021-08-22;shuddha
Hṛṣīkeś;K;Dvitīya;2021-08-23 05:10;2021-08-24 04:57;2021-08-23 06:31;2021-08-24 06:32;2021-08-25 06:33;2021-08-23;shuddha
Hṛṣīkeś;K;Tṛtīya;2021-08-24 04:57;2021-08-25 05:14;2021-08-24 06:32;2021-08-25 06:33;2021-08-26 06:34;2021-08-24;shuddha
Hṛṣīkeś;K;Chaturthī;2021-08-25 05:14;2021-08-26 06:04;2021-08-25 06:33;2021-08-26 06:34;2021-08-27 06:35;2021-08-25;shuddha
Hṛṣīkeś;K;Pañchamī;2021-08-26 06:04;2021-08-27 07:21;2021-08-26 06:34;2021-08-27 06:35;2021-08-28 06:35;2021-08-26;sampurna
Hṛṣīkeś;K;Śaṣṭhī;2021-08-27 07:21;2021-08-28 09:00;2021-08-27 06:35;2021-08-28 06:35;2021-08-29 06:36;2021-08-28;shuddha
Hṛṣīkeś;K;Saptamī;2021-08-28 09:00;2021-08-29 10:55;2021-08-28 06:35;2021-08-29 06:36;2021-08-30 06:37;2021-08-29;shuddha
Hṛṣīkeś;K;Aṣṭamī;2021-08-29 10:55;2021-08-30 12:58;2021-08-29 06:36;2021-08-30 06:37;2021-08-31 06:38;2021-08-30;shuddha
Hṛṣīkeś;K;Navamī;2021-08-30 12:58;2021-08-31 14:57;2021-08-30 06:37;2021-08-31 06:38;2021-09-01 06:39;2021-08-31;shuddha
Hṛṣīkeś;K;Daśamī;2021-08-31 14:57;2021-09-01 16:44;2021-08-31 06:38;2021-09-01 06:39;2021-09-02 06:39;2021-09-01;shuddha
Hṛṣīkeś;K;Ekādaśī;2021-09-01 16:44;2021-09-02 18:10;2021-09-01 06:39;2021-09-02 06:39;2021-09-03 06:40;2021-09-02;shuddha
Hṛṣīkeś;K;Dvādaśī;2021-09-02 18:10;2021-09-03 19:09;2021-09-02 06:39;2021-09-03 06:40;2021-09-04 06:41;2021-09-03;shuddha
Hṛṣīkeś;K;Trayodaśī;2021-09-03 19:09;2021-09-04 19:39;2021-09-03 06:40;2021-09-04 06:41;2021-09-05 06:42;2021-09-04;shuddha
Hṛṣīkeś;K;Chaturdaśī;2021-09-04 19:39;2021-09-05 19:37;2021-09-04 06:41;2021-09-05 06:42;2021-09-06 06:43;2021-09-05;shuddha
Hṛṣīkeś;K;Amāvasyā;2021-09-05 19:37;2021-09-06 19:06;2021-09-05 06:42;2021-09-06 06:43;2021-09-07 06:43;2021-09-06;shuddha
