masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Trivikram;K;Chaturthī;2021-05-28 22:55;2021-05-29 21:05;2021-05-28 05:51;2021-05-29 05:50;2021-05-28 20:19;2021-05-29;2021-05-29 04:14;shuddha;;;
Trivikram;K;Pañchamī;2021-05-29 21:05;2021-05-30 19:36;2021-05-29 05:50;2021-05-30 05:50;2021-05-29 20:20;2021-05-30;2021-05-30 04:14;shuddha;;;
Trivikram;K;Śaṣṭhī;2021-05-30 19:36;2021-05-31 18:31;2021-05-30 05:50;2021-05-31 05:49;2021-05-30 20:20;2021-05-31;2021-05-31 04:13;shuddha;;;
Trivikram;K;Saptamī;2021-05-31 18:31;2021-06-01 17:53;2021-05-31 05:49;2021-06-01 05:49;2021-05-31 20:21;2021-06-01;2021-06-01 04:13;shuddha;;;
Trivikram;K;Aṣṭamī;2021-06-01 17:53;2021-06-02 17:46;2021-06-01 05:49;2021-06-02 05:49;2021-06-01 20:22;2021-06-02;2021-06-02 04:13;shuddha;;;
Trivikram;K;Navamī;2021-06-02 17:46;2021-06-03 18:09;2021-06-02 05:49;2021-06-03 05:48;2021-06-02 20:22;2021-06-03;2021-06-03 04:12;shuddha;;;
Trivikram;K;Daśamī;2021-06-03 18:09;2021-06-04 19:03;2021-06-03 05:48;2021-06-04 05:48;2021-06-03 20:23;2021-06-04;2021-06-04 04:12;shuddha;;;
Trivikram;K;Ekādaśī;2021-06-04 19:03;2021-06-05 20:23;2021-06-04 05:48;2021-06-05 05:48;2021-06-04 20:23;2021-06-05;2021-06-05 04:12;shuddha;;;
Trivikram;K;Dvādaśī;2021-06-05 20:23;2021-06-06 22:05;2021-06-05 05:48;2021-06-06 05:48;2021-06-05 20:24;2021-06-06;2021-06-06 04:12;shuddha;;;
Trivikram;K;Trayodaśī;2021-06-06 22:05;2021-06-08 00:01;2021-06-06 05:48;2021-06-07 05:48;2021-06-06 20:25;2021-06-07;2021-06-07 04:12;shuddha;;;
Trivikram;K;Chaturdaśī;2021-06-08 00:01;2021-06-09 02:04;2021-06-08 05:47;2021-06-09 05:47;2021-06-08 20:26;2021-06-08;2021-06-08 04:11;shuddha;;;
Trivikram;K;Amāvasyā;2021-06-09 02:04;2021-06-10 03:59;2021-06-09 05:47;2021-06-10 05:47;2021-06-09 20:26;2021-06-09;2021-06-09 04:11;shuddha;;;
Trivikram;G;Pratipad;2021-06-10 03:59;2021-06-11 05:41;2021-06-10 05:47;2021-06-11 05:47;2021-06-10 20:27;2021-06-10;2021-06-10 04:11;shuddha;;;
Trivikram;G;Dvitīya;2021-06-11 05:41;2021-06-12 07:00;2021-06-11 05:47;2021-06-12 05:47;2021-06-11 20:27;2021-06-11;2021-06-11 04:11;sampurna;;;
Trivikram;G;Tṛtīya;2021-06-12 07:00;2021-06-13 07:53;2021-06-12 05:47;2021-06-13 05:47;2021-06-12 20:28;2021-06-13;2021-06-13 04:11;shuddha;;;
Trivikram;G;Chaturthī;2021-06-13 07:53;2021-06-14 08:15;2021-06-13 05:47;2021-06-14 05:47;2021-06-13 20:28;2021-06-14;2021-06-14 04:11;shuddha;;;
Trivikram;G;Pañchamī;2021-06-14 08:15;2021-06-15 08:06;2021-06-14 05:47;2021-06-15 05:47;2021-06-14 20:28;2021-06-15;2021-06-15 04:11;shuddha;;;
Trivikram;G;Śaṣṭhī;2021-06-15 08:06;2021-06-16 07:28;2021-06-15 05:47;2021-06-16 05:47;2021-06-15 20:29;2021-06-16;2021-06-16 04:11;shuddha;;;
Trivikram;G;Saptamī;2021-06-16 07:28;2021-06-17 06:22;2021-06-16 05:47;2021-06-17 05:47;2021-06-16 20:29;2021-06-17;2021-06-17 04:11;shuddha;;;
Trivikram;G;Aṣṭamī;2021-06-17 06:22;2021-06-18 04:51;2021-06-17 05:47;2021-06-18 05:47;2021-06-17 20:29;2021-06-18;2021-06-18 04:11;kshaya;;;
