masa;paksha;tithi;start;end;start_sunrise;next_day_sunrise;sunset;date;arunoday;type;nakshatra_name;nakshatra_start;nakshatra_end
Trivikram;K;Tṛtīya;2021-05-28 10:02;2021-05-29 07:55;2021-05-28 04:45;2021-05-29 04:44;2021-05-28 19:52;2021-05-29;2021-05-29 03:08;shuddha;;;
Trivikram;K;Chaturthī;2021-05-29 07:55;2021-05-30 06:05;2021-05-29 04:44;2021-05-30 04:43;2021-05-29 19:53;2021-05-30;2021-05-30 03:07;shuddha;;;
Trivikram;K;Pañchamī;2021-05-30 06:05;2021-05-31 04:36;2021-05-30 04:43;2021-05-31 04:43;2021-05-30 19:54;2021-05-31;2021-05-31 03:07;kshaya;;;
Trivikram;K;Śaṣṭhī;2021-05-31 04:36;2021-06-01 03:31;2021-05-31 04:43;2021-06-01 04:42;2021-05-31 19:54;2021-05-31;2021-05-31 03:07;viddha;;;
Trivikram;K;Saptamī;2021-06-01 03:31;2021-06-02 02:53;2021-06-01 04:42;2021-06-02 04:42;2021-06-01 19:55;2021-06-01;2021-06-01 03:06;viddha;;;
Trivikram;K;Aṣṭamī;2021-06-02 02:53;2021-06-03 02:46;2021-06-02 04:42;2021-06-03 04:41;2021-06-02 19:56;2021-06-02;2021-06-02 03:06;shuddha;;;
Trivikram;K;Navamī;2021-06-03 02:46;2021-06-04 03:09;2021-06-03 04:41;2021-06-04 04:41;2021-06-03 19:57;2021-06-03;2021-06-03 03:05;shuddha;;;
Trivikram;K;Daśamī;2021-06-04 03:09;2021-06-05 04:03;2021-06-04 04:41;2021-06-05 04:40;2021-06-04 19:57;2021-06-04;2021-06-04 03:05;viddha;;;
Trivikram;K;Ekādaśī;2021-06-05 04:03;2021-06-06 05:23;2021-06-05 04:40;2021-06-06 04:40;2021-06-05 19:58;2021-06-06;2021-06-06 03:04;sampurna;;;
Trivikram;K;Dvādaśī;2021-06-06 05:23;2021-06-07 07:05;2021-06-06 04:40;2021-06-07 04:40;2021-06-06 19:59;2021-06-07;2021-06-07 03:04;shuddha;;;
Trivikram;K;Trayodaśī;2021-06-07 07:05;2021-06-08 09:01;2021-06-07 04:40;2021-06-08 04:40;2021-06-07 20:00;2021-06-08;2021-06-08 03:04;shuddha;;;
Trivikram;K;Chaturdaśī;2021-06-08 09:01;2021-06-09 11:04;2021-06-08 04:40;2021-06-09 04:39;2021-06-08 20:00;2021-06-09;2021-06-09 03:03;shuddha;;;
Trivikram;K;Amāvasyā;2021-06-09 11:04;2021-06-10 12:59;2021-06-09 04:39;2021-06-10 04:39;2021-06-09 20:01;2021-06-10;2021-06-10 03:03;shuddha;;;
Trivikram;G;Pratipad;2021-06-10 12:59;2021-06-11 14:41;2021-06-10 04:39;2021-06-11 04:39;2021-06-10 20:01;2021-06-11;2021-06-11 03:03;shuddha;;;
Trivikram;G;Dvitīya;2021-06-11 14:41;2021-06-12 16:00;2021-06-11 04:39;2021-06-12 04:39;2021-06-11 20:02;2021-06-12;2021-06-12 03:03;shuddha;;;
Trivikram;G;Tṛtīya;2021-06-12 16:00;2021-06-13 16:53;2021-06-12 04:39;2021-06-13 04:39;2021-06-12 20:02;2021-06-13;2021-06-13 03:03;shuddha;;;
Trivikram;G;Chaturthī;2021-06-13 16:53;2021-06-14 17:15;2021-06-13 04:39;2021-06-14 04:39;2021-06-13 20:03;2021-06-14;2021-06-14 03:03;shuddha;;;
Trivikram;G;Pañchamī;2021-06-14 17:15;2021-06-15 17:06;2021-06-14 04:39;2021-06-15 04:39;2021-06-14 20:03;2021-06-15;2021-06-15 03:03;shuddha;;;
Trivikram;G;Śaṣṭhī;2021-06-15 17:06;2021-06-16 16:28;2021-06-15 04:39;2021-06-16 04:39;2021-06-15 20:04;2021-06-16;2021-06-16 03:03;shuddha;;;
Trivikram;G;Saptamī;2021-06-16 16:28;2021-06-17 15:22;2021-06-16 04:39;2021-06-17 04:39;2021-06-16 20:04;2021-06-17;2021-06-17 03:03;shuddha;;;
Trivikram;G;Aṣṭamī;2021-06-17 15:22;2021-06-18 13:51;2021-06-17 04:39;2021-06-18 04:39;2021-06-17 20:05;2021-06-18;2021-06-18 03:03;shuddha;;;
